SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
31504,25341,40.2477247159775,22.01773301216021,True,4.877890090624983,10.785899236538114,0.7577787939093668,84.62266268049478
31505,25342,49.227531328593216,25.493502682202482,True,16.702616621458734,10.021179021552655,0.0002588476316631727,37.452692660967315
31506,25343,42.30869794871709,28.48011301641595,True,21.788268877058297,9.987380725007142,-0.03340906255638032,33.37694127820602
31507,25344,40.198281379595194,30.846221375138793,True,8.410788223149348,9.996208658047749,-0.028082554276730676,59.54814427010024
31508,25345,41.78656643384124,29.95509751202309,True,29.402923311265504,10.029064378728435,0.007344709573407826,31.24728935534963
31510,25347,47.7894539506468,25.911043297754574,True,9.016645539051234,9.975726249517237,-0.04809911022356239,56.6694371799116
31512,25349,43.22365502135394,28.905946809951573,True,1.6785859883429148,10.327325942967462,0.29348488544067663,223.6539757990961
31514,25351,45.804782240358115,28.359939078762107,True,18.84581911344737,9.978448621653314,-0.04230703808584657,35.297621253692625
31515,25352,42.824123434824486,29.546188432876377,True,26.352936354742592,10.071828654906795,0.05058569326147477,31.790510959341486
31516,25353,42.37288007344285,30.65416174065577,True,11.698503262558237,9.987878877388823,-0.03438607212640221,46.98830403816513
31518,25355,43.245459726412,23.19236303355596,True,4.032816746471504,9.877695155733647,-0.15168882222274327,95.00570581145693
31519,25356,46.08068225808339,32.03257903007612,True,9.626763953136642,10.096649754959685,0.07324761370465893,54.05923910866581
31520,25357,46.5232150979238,27.74092318913708,True,43.00062715807725,10.020738663566505,-0.0038541343436939712,30.535217581641607
31521,25358,43.491157479482155,32.75505781826908,True,15.529549772786716,10.01726423994856,-0.0038335768431050354,39.01505319493384
31523,25360,46.091526136006394,31.592947920707807,True,17.37920672623207,9.997185046029387,-0.02366257107439651,36.684878349576024
31524,25361,47.12913325061537,31.01917060434002,True,5.924408320507278,10.091236778683651,0.06447571382161854,75.21275908062574
31525,25362,48.68828985135849,26.396774422632504,True,12.180887150415701,10.09716653682517,0.07510819100737365,45.673060458310985
31526,25363,45.99952243125602,28.60422913015705,True,14.752710935374866,9.998507516007976,-0.022748383070739564,40.23729047994739
31527,25364,39.608741760253906,31.608119023989325,True,1.9450729067759573,10.016191274286598,-0.017067039793532857,185.9998747482115
31531,25368,49.70715953879161,24.018998577170176,True,22.615376752184446,9.988669779801938,-0.03217166634938273,32.99025510436693
31533,25370,42.71403341423975,26.846532847783337,True,18.794294021868865,10.023532188740461,0.0027746845972362877,35.34066353471398
31534,25371,25.557038163485593,23.35514619905655,True,7.449250830214198,10.078446132559463,0.053313299423713545,64.78732644063948
31537,25374,44.871487290891885,26.614495995926532,True,11.283871639069064,10.002968928993141,-0.019489946205521136,48.20933676372769
31538,25375,44.71797169724556,22.916566927139073,True,11.69643504934336,9.989142807674739,-0.03312307090213196,46.99418120023911
31539,25376,44.910855436978274,24.781232102276526,True,35.521876726362656,10.06279080993616,0.03987738264407881,30.7344214026454
31540,25377,40.70698103186202,27.956035457245292,True,14.568300722213941,9.99273413742739,-0.02856446215840691,40.55219810857902
31542,25379,44.19642038214697,32.82639046237893,True,17.41762413650152,9.952611696663439,-0.06823240607147518,36.64390253912066
31546,25383,40.552449631364375,27.902967844923882,True,14.482549794015195,9.956778415286635,-0.06454074660587672,40.702065239990034
31547,25384,45.657093152607956,32.65136023743512,True,9.199523529582212,9.947527177026217,-0.07616665138518464,55.85804892490873
31548,25385,46.365255381963024,28.42281699507204,True,26.482429113752293,9.994536409450006,-0.02672450533696491,31.76120357791634
31549,25386,48.15972686140505,27.181252936794333,True,13.15916458065502,9.967833438468574,-0.053863939918715076,43.31832663970657
31551,25388,37.733569524059554,23.095725804159088,True,5.8471857558240306,10.097548180588689,0.07069399410316812,75.82844746500142
31553,25390,46.1524658203125,24.365556351126056,True,2.545273380437005,10.238413126182422,0.20638957792603385,137.16332264446504
31554,25391,41.810544627986545,21.926630516574807,True,5.0185722196905145,10.058083235919781,0.03015820363609656,83.1970709905557
31556,25393,43.54508784045912,26.528082991299563,True,7.857936176216713,10.177736216598191,0.15297719427180745,62.452423708437934
31557,25394,44.46004203900899,30.444375678284526,True,9.485374154553254,9.94854564088152,-0.0749506597817895,54.63993812596559
31558,25395,41.08719300570553,30.109102771706777,True,7.333634682800408,9.928279431710138,-0.09696366942563017,65.47904541666522
31563,25400,43.62818386130137,23.834290047214456,True,12.789489930355927,10.118044068536506,0.09621900796084759,44.161942327908754
31564,25401,47.971789268598165,26.380632243744316,True,8.857592887787117,10.178974982406771,0.1550318660235117,57.39623705064981
